Entity ID,Beginning Date,Ending Date,Agency,Vendor,Vendor ID,Map Projection,Datum,Resolution,Resolution Unit,File Format,Product Type,Center Latitude,Center Longitude,NW Corner Lat,NW Corner Long,NE  Corner Lat,NE  Corner Long,SE Corner Lat,SE Corner Long,SW Corner Lat,SW Corner Long,Center Latitude dec,Center Longitude dec,NW  Corner Lat dec,NW Corner Long dec,NE Corner Lat dec,NE Corner Long dec,SE Corner Lat dec,SE Corner Long dec,SW Corner Lat dec,SW Corner Long dec,Display ID
IFSARAK2010N6215W14445_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6215w14445P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°22'29.93"N,144°37'27.99"W,62°31'14.29"N,144°45'09.40"W,62°29'54.12"N,144°24'47.18"W,62°13'45.21"N,144°29'50.95"W,62°15'04.66"N,144°50'02.70"W,62.3749804,-144.6244416,62.520636,-144.7526111,62.4983666,-144.4131055,62.2292249,-144.497486,62.2512944,-144.8340833,IFSARAK2010N6215W14445_01,IFSARAK2010N6215W14445_01
IFSARAK2010N6215W14500_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6215w14500P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°22'29.96"N,144°52'27.99"W,62°31'12.64"N,145°00'10.23"W,62°29'55.06"N,144°39'54.65"W,62°13'46.90"N,144°44'50.10"W,62°15'03.79"N,145°04'55.26"W,62.3749888,-144.8744416,62.5201777,-145.0028416,62.4986277,-144.6651805,62.2296943,-144.7472499,62.2510527,-145.0820166,IFSARAK2010N6215W14500_01,IFSARAK2010N6215W14500_01
IFSARAK2010N6215W14515_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6215w14515P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°22'29.96"N,145°07'28.04"W,62°31'11.07"N,145°15'11.25"W,62°29'56.04"N,144°55'01.99"W,62°13'48.49"N,144°59'49.19"W,62°15'02.85"N,145°19'48.08"W,62.3749888,-145.1244554,62.5197416,-145.253125,62.4988999,-144.9172193,62.230136,-144.9969971,62.2507916,-145.3300221,IFSARAK2010N6215W14515_01,IFSARAK2010N6215W14515_01
IFSARAK2010N6215W14530_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6215w14530P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°22'29.94"N,145°22'28.01"W,62°31'09.40"N,145°30'12.18"W,62°29'56.89"N,145°10'09.26"W,62°13'50.12"N,145°14'48.18"W,62°15'01.99"N,145°34'40.78"W,62.3749832,-145.3744471,62.5192777,-145.5033833,62.499136,-145.1692388,62.2305888,-145.2467166,62.2505527,-145.5779943,IFSARAK2010N6215W14530_01,IFSARAK2010N6215W14530_01
IFSARAK2010N6215W14545_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6215w14545P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°22'29.91"N,145°37'28.06"W,62°31'07.81"N,145°45'13.33"W,62°29'57.77"N,145°25'16.43"W,62°13'51.64"N,145°29'47.13"W,62°15'01.05"N,145°49'33.75"W,62.3749749,-145.624461,62.518836,-145.7537027,62.4993805,-145.4212304,62.231011,-145.4964249,62.2502916,-145.8260416,IFSARAK2010N6215W14545_01,IFSARAK2010N6215W14545_01
IFSARAK2010N6215W14600_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6215w14600P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°22'30.01"N,145°52'27.99"W,62°31'06.25"N,146°00'14.02"W,62°29'58.71"N,145°40'23.86"W,62°13'53.39"N,145°44'46.30"W,62°15'00.33"N,146°04'26.25"W,62.3750027,-145.8744416,62.5184027,-146.0038944,62.4996416,-145.6732943,62.2314971,-145.7461944,62.2500916,-146.0739582,IFSARAK2010N6215W14600_01,IFSARAK2010N6215W14600_01
IFSARAK2010N6230W14415_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6230w14415P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°37'29.89"N,144°07'28.08"W,62°46'16.94"N,144°15'07.69"W,62°44'52.06"N,143°54'30.09"W,62°28'42.50"N,143°59'52.88"W,62°30'06.62"N,144°20'19.80"W,62.6249693,-144.1244666,62.7713721,-144.2521361,62.7477944,-143.9083583,62.4784721,-143.9980221,62.5018388,-144.3388333,IFSARAK2010N6230W14415_01,IFSARAK2010N6230W14415_01
IFSARAK2010N6230W14430_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6230w14430P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°37'29.94"N,144°22'28.09"W,62°46'15.32"N,144°30'08.75"W,62°44'53.04"N,144°09'37.46"W,62°28'44.21"N,144°14'51.83"W,62°30'05.75"N,144°35'12.50"W,62.6249832,-144.3744693,62.7709221,-144.5024305,62.7480666,-144.1604055,62.4789471,-144.2477305,62.5015972,-144.5868055,IFSARAK2010N6230W14430_01,IFSARAK2010N6230W14430_01
IFSARAK2010N6230W14445_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6230w14445P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°37'29.90"N,144°37'28"W,62°46'13.77"N,144°45'09.64"W,62°44'54.07"N,144°24'44.67"W,62°28'45.66"N,144°29'50.75"W,62°30'04.65"N,144°50'05.15"W,62.6249721,-144.6244443,62.7704916,-144.7526777,62.7483527,-144.4124083,62.4793499,-144.4974305,62.5012916,-144.8347638,IFSARAK2010N6230W14445_01,IFSARAK2010N6230W14445_01
IFSARAK2010N6230W14500_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6230w14500P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°37'29.94"N,144°52'28.10"W,62°46'12.16"N,145°00'10.76"W,62°44'55.02"N,144°39'52.14"W,62°28'47.36"N,144°44'49.84"W,62°30'03.81"N,145°04'57.94"W,62.6249832,-144.8744721,62.7700443,-145.0029888,62.7486166,-144.6644833,62.4798221,-144.7471777,62.5010583,-145.082761,IFSARAK2010N6230W14500_01,IFSARAK2010N6230W14500_01
IFSARAK2010N6230W14515_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6230w14515P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°37'29.97"N,145°07'28.10"W,62°46'10.62"N,145°15'11.73"W,62°44'56.01"N,144°54'59.48"W,62°28'48.95"N,144°59'48.87"W,62°30'02.90"N,145°19'50.64"W,62.6249916,-145.1244721,62.7696166,-145.2532583,62.7488916,-144.9165222,62.4802638,-144.9969083,62.5008055,-145.3307332,IFSARAK2010N6230W14515_01,IFSARAK2010N6230W14515_01
IFSARAK2010N6230W14530_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6230w14530P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°37'29.90"N,145°22'28.03"W,62°46'08.99"N,145°30'12.60"W,62°44'56.88"N,145°10'06.75"W,62°28'50.46"N,145°14'47.84"W,62°30'01.91"N,145°34'43.26"W,62.6249721,-145.3744527,62.7691638,-145.5035,62.7491333,-145.1685416,62.4806832,-145.2466221,62.5005305,-145.5786832,IFSARAK2010N6230W14530_01,IFSARAK2010N6230W14530_01
IFSARAK2010N6230W14545_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6230w14545P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°37'30"N,145°37'27.99"W,62°46'07.43"N,145°45'13.35"W,62°44'57.83"N,145°25'14.27"W,62°28'52.20"N,145°29'47.02"W,62°30'01.18"N,145°49'35.73"W,62.6249999,-145.6244416,62.7687304,-145.7537083,62.7493971,-145.4206304,62.4811666,-145.4963944,62.5003277,-145.8265916,IFSARAK2010N6230W14545_01,IFSARAK2010N6230W14545_01
IFSARAK2010N6230W14600_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6230w14600P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°37'29.93"N,145°52'28.11"W,62°46'05.80"N,146°00'14.38"W,62°44'58.66"N,145°40'21.75"W,62°28'53.69"N,145°44'46.23"W,62°30'00.22"N,146°04'28.53"W,62.6249804,-145.8744749,62.7682777,-146.0039944,62.7496277,-145.6727082,62.4815804,-145.7461749,62.5000611,-146.0745916,IFSARAK2010N6230W14600_01,IFSARAK2010N6230W14600_01
IFSARAK2010N6245W14415_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6245w14415P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°52'29.93"N,144°07'28.05"W,63°01'16.40"N,144°15'07.74"W,62°59'52.03"N,143°54'27.59"W,62°43'43.11"N,143°59'52.80"W,62°45'06.72"N,144°20'22.17"W,62.8749804,-144.1244582,63.0212221,-144.25215,62.997786,-143.9076638,62.7286416,-143.9979999,62.7518666,-144.3394916,IFSARAK2010N6245W14415_01,IFSARAK2010N6245W14415_01
IFSARAK2010N6245W14430_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6245w14430P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°52'29.96"N,144°22'28.01"W,63°01'14.93"N,144°30'08.70"W,62°59'53.15"N,144°09'34.91"W,62°43'44.64"N,144°14'51.75"W,62°45'05.68"N,144°35'14.81"W,62.8749888,-144.3744471,63.0208138,-144.5024166,62.9980971,-144.1596972,62.7290666,-144.2477083,62.7515777,-144.5874471,IFSARAK2010N6245W14430_01,IFSARAK2010N6245W14430_01
IFSARAK2010N6245W14445_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6245w14445P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°52'29.92"N,144°37'28.02"W,63°01'13.25"N,144°45'09.93"W,62°59'54.01"N,144°24'42.17"W,62°43'46.24"N,144°29'50.55"W,62°45'04.76"N,144°50'07.63"W,62.8749777,-144.6244499,63.0203471,-144.7527583,62.998336,-144.4117138,62.729511,-144.4973749,62.7513222,-144.8354527,IFSARAK2010N6245W14445_01,IFSARAK2010N6245W14445_01
IFSARAK2010N6245W14500_01,2010/06/10,2010/07/02,USGS,IntermapTechnologiesInc.,ORI_n6245w14500P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°52'29.97"N,144°52'28.07"W,63°01'11.81"N,145°00'10.95"W,62°59'55.12"N,144°39'49.59"W,62°43'47.78"N,144°44'49.62"W,62°45'03.78"N,145°05'00.35"W,62.8749916,-144.8744638,63.0199471,-145.0030416,62.9986444,-144.663775,62.7299388,-144.7471166,62.75105,-145.0834305,IFSARAK2010N6245W14500_01,IFSARAK2010N6245W14500_01
IFSARAK2010N6245W14515_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6245w14515P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°52'29.94"N,145°07'28.03"W,63°01'10.14"N,145°15'11.90"W,62°59'55.96"N,144°54'56.98"W,62°43'49.39"N,144°59'48.58"W,62°45'02.90"N,145°19'52.93"W,62.8749832,-145.1244527,63.0194832,-145.2533055,62.9988777,-144.9158277,62.730386,-144.9968277,62.7508055,-145.3313693,IFSARAK2010N6245W14515_01,IFSARAK2010N6245W14515_01
IFSARAK2010N6245W14530_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6245w14530P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°52'29.92"N,145°22'28.07"W,63°01'08.55"N,145°30'12.72"W,62°59'56.89"N,145°10'04.60"W,62°43'50.94"N,145°14'47.84"W,62°45'01.95"N,145°34'45.43"W,62.8749777,-145.3744638,63.0190416,-145.5035333,62.999136,-145.1679443,62.7308166,-145.2466221,62.7505416,-145.579286,IFSARAK2010N6245W14530_01,IFSARAK2010N6245W14530_01
IFSARAK2010N6245W14545_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6245w14545P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°52'29.98"N,145°37'28"W,63°01'07.06"N,145°45'13.76"W,62°59'57.86"N,145°25'11.77"W,62°43'52.55"N,145°29'46.66"W,62°45'01.13"N,145°49'38.17"W,62.8749943,-145.6244443,63.0186277,-145.7538222,62.9994055,-145.419936,62.7312638,-145.4962944,62.7503138,-145.8272693,IFSARAK2010N6245W14545_01,IFSARAK2010N6245W14545_01
IFSARAK2010N6245W14600_01,2010/06/10,2010/06/23,USGS,IntermapTechnologiesInc.,ORI_n6245w14600P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,62°52'29.96"N,145°52'27.88"W,63°01'05.48"N,146°00'14.38"W,62°59'58.74"N,145°40'19.25"W,62°43'54.09"N,145°44'45.80"W,62°45'00.22"N,146°04'30.51"W,62.8749888,-145.874411,63.0181888,-146.0039944,62.9996499,-145.6720138,62.7316916,-145.7460555,62.7500611,-146.0751416,IFSARAK2010N6245W14600_01,IFSARAK2010N6245W14600_01
IFSARAK2010N6300W14415_01,2010/06/10,2010/06/28,USGS,IntermapTechnologiesInc.,ORI_n6300w14415P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°07'29.88"N,144°07'28.11"W,63°16'15.90"N,144°15'08.21"W,63°14'51.99"N,143°54'24.76"W,62°58'43.53"N,143°59'52.48"W,63°00'06.67"N,144°20'25.05"W,63.1249666,-144.1244749,63.2710832,-144.2522805,63.2477749,-143.9068777,62.9787582,-143.997911,63.0018527,-144.3402916,IFSARAK2010N6300W14415_01,IFSARAK2010N6300W14415_01
IFSARAK2010N6300W14430_01,2010/06/10,2010/06/28,USGS,IntermapTechnologiesInc.,ORI_n6300w14430P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°07'29.89"N,144°22'28"W,63°16'14.42"N,144°30'09.11"W,63°14'53.09"N,144°09'32.07"W,62°58'45.03"N,144°14'51.36"W,63°00'05.62"N,144°35'17.56"W,63.1249693,-144.3744443,63.2706721,-144.5025305,63.2480805,-144.1589083,62.9791749,-144.2475999,63.0015611,-144.588211,IFSARAK2010N6300W14430_01,IFSARAK2010N6300W14430_01
IFSARAK2010N6300W14445_01,2010/06/10,2010/06/28,USGS,IntermapTechnologiesInc.,ORI_n6300w14445P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°07'29.94"N,144°37'28.10"W,63°16'12.90"N,144°45'10.23"W,63°14'54.12"N,144°24'39.63"W,62°58'46.64"N,144°29'50.44"W,63°00'04.70"N,144°50'10.26"W,63.1249832,-144.6244721,63.2702499,-144.7528416,63.2483666,-144.4110083,62.9796221,-144.4973444,63.0013055,-144.8361833,IFSARAK2010N6300W14445_01,IFSARAK2010N6300W14445_01
IFSARAK2010N6300W14500_01,2010/06/10,2010/06/28,USGS,IntermapTechnologiesInc.,ORI_n6300w14500P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°07'29.92"N,144°52'28.11"W,63°16'11.32"N,145°00'11.23"W,63°14'55.07"N,144°39'47.10"W,62°58'48.18"N,144°44'49.45"W,63°00'03.74"N,145°05'02.85"W,63.1249777,-144.8744749,63.269811,-145.0031194,63.2486305,-144.6630833,62.9800499,-144.7470694,63.0010388,-145.0841249,IFSARAK2010N6300W14500_01,IFSARAK2010N6300W14500_01
IFSARAK2010N6300W14515_01,2010/06/10,2010/06/26,USGS,IntermapTechnologiesInc.,ORI_n6300w14515P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°07'29.92"N,145°07'28.01"W,63°16'09.68"N,145°15'12.13"W,63°14'55.93"N,144°54'54.48"W,62°58'49.81"N,144°59'48.34"W,63°00'02.88"N,145°19'55.31"W,63.1249777,-145.1244471,63.2693554,-145.2533694,63.2488694,-144.9151333,62.9805027,-144.996761,63.0008,-145.3320304,IFSARAK2010N6300W14515_01,IFSARAK2010N6300W14515_01
IFSARAK2010N6300W14530_01,2010/06/10,2010/06/26,USGS,IntermapTechnologiesInc.,ORI_n6300w14530P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°07'29.93"N,145°22'27.98"W,63°16'08.13"N,145°30'12.88"W,63°14'56.89"N,145°10'02.11"W,62°58'51.39"N,145°14'47.54"W,63°00'01.98"N,145°34'47.68"W,63.1249804,-145.3744388,63.2689249,-145.5035777,63.249136,-145.1672527,62.9809416,-145.2465388,63.00055,-145.579911,IFSARAK2010N6300W14530_01,IFSARAK2010N6300W14530_01
IFSARAK2010N6300W14545_01,2010/06/10,2010/06/26,USGS,IntermapTechnologiesInc.,ORI_n6300w14545P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°07'29.97"N,145°37'28.05"W,63°16'06.69"N,145°45'13.87"W,63°14'57.92"N,145°25'09.63"W,62°58'52.90"N,145°29'46.68"W,63°00'01.05"N,145°49'40.35"W,63.1249916,-145.6244582,63.2685249,-145.7538527,63.2494221,-145.4193416,62.981361,-145.4962999,63.0002916,-145.8278749,IFSARAK2010N6300W14545_01,IFSARAK2010N6300W14545_01
IFSARAK2010N6300W14600_01,2010/06/10,2010/06/26,USGS,IntermapTechnologiesInc.,ORI_n6300w14600P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°07'29.94"N,145°52'28.07"W,63°16'05.04"N,146°00'14.82"W,63°14'58.70"N,145°40'17.15"W,62°58'54.50"N,145°44'45.76"W,63°00'00.23"N,146°04'32.91"W,63.1249832,-145.8744638,63.2680666,-146.0041166,63.2496388,-145.6714304,62.9818054,-145.7460444,63.0000638,-146.0758082,IFSARAK2010N6300W14600_01,IFSARAK2010N6300W14600_01
IFSARAK2010N6300W14700_01,2010/06/10,2010/06/26,USGS,IntermapTechnologiesInc.,ORI_n6300w14700P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°07'29.97"N,146°52'28.02"W,63°15'58.75"N,147°00'17.94"W,63°15'01.96"N,146°40'47.47"W,62°59'00.84"N,146°44'42.53"W,62°59'57.11"N,147°04'02.72"W,63.1249916,-146.8744499,63.2663194,-147.0049833,63.2505444,-146.6798527,62.9835666,-146.7451471,62.9991971,-147.0674221,IFSARAK2010N6300W14700_01,IFSARAK2010N6300W14700_01
IFSARAK2010N6315W14415_01,2010/06/10,2010/06/28,USGS,IntermapTechnologiesInc.,ORI_n6315w14415P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°22'29.85"N,144°07'28.04"W,63°31'15.42"N,144°15'08.38"W,63°29'51.99"N,143°54'21.93"W,63°13'43.95"N,143°59'52.21"W,63°15'06.61"N,144°20'27.66"W,63.3749582,-144.1244554,63.5209499,-144.2523277,63.4977749,-143.9060916,63.2288749,-143.997836,63.2518361,-144.3410166,IFSARAK2010N6315W14415_01,IFSARAK2010N6315W14415_01
IFSARAK2010N6315W14430_01,2010/06/10,2010/06/28,USGS,IntermapTechnologiesInc.,ORI_n6315w14430P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°22'29.93"N,144°22'28.01"W,63°31'13.93"N,144°30'09.21"W,63°29'53.09"N,144°09'29.59"W,63°13'45.62"N,144°14'51.32"W,63°15'05.71"N,144°35'19.99"W,63.3749804,-144.3744471,63.520536,-144.5025583,63.4980805,-144.1582194,63.2293388,-144.2475888,63.2515861,-144.588886,IFSARAK2010N6315W14430_01,IFSARAK2010N6315W14430_01
IFSARAK2010N6315W14445_01,2010/06/10,2010/06/28,USGS,IntermapTechnologiesInc.,ORI_n6315w14445P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°22'29.97"N,144°37'27.88"W,63°31'12.41"N,144°45'10.27"W,63°29'54.09"N,144°24'36.79"W,63°13'47.20"N,144°29'49.98"W,63°15'04.80"N,144°50'12.57"W,63.3749916,-144.624411,63.5201138,-144.7528527,63.4983583,-144.4102194,63.2297777,-144.4972166,63.2513333,-144.8368249,IFSARAK2010N6315W14445_01,IFSARAK2010N6315W14445_01
IFSARAK2010N6315W14500_01,2010/06/10,2010/06/28,USGS,IntermapTechnologiesInc.,ORI_n6315w14500P,AlbersConicalEqualArea,NAD83,0.625,METER,GEOTIFF,ORI,63°22'29.97"N,144°52'28"W,63°31'10.84"N,145°00'11.22"W,63°29'55.06"N,144°39'44.61"W,63°13'48.76"N,144°44'49.28"W,63°15'03.85"N,145°05'05.04"W,63.3749916,-144.8744443,63.5196777,-145.0031166,63.4986277,-144.6623916,63.230211,-144.7470221,63.2510694,-145.0847333,IFSARAK2010N6315W14500_01,IFSARAK2010N6315W14500_01
